site_id,city,site_name,osm_way_id,geometry_role,geometry_type,source_crs,analysis_crs,timezone,centroid_lon,centroid_lat,area_m2,axis_length_m,corridor_width_m,corridor_width_status,raw_osm_timestamp,raw_osm_sha256,gpkg_sha256,building_count,building_height_or_levels_count,mapped_tree_count,mapped_tree_height_count
SUZ,Suzhou,Xutai Road neighbourhood grass parcel,741252447,analytical_boundary,Polygon,EPSG:4326,EPSG:32651,Asia/Shanghai,120.58645142796368,31.287068393742285,2540.0467657447243,,,NOT_APPLICABLE,2026-08-06T04:36:36Z,15397edd67e014ec5a10fa01650299ee9e8047687cae98fee2c832544aca91ac,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,0,0,0,0
LON,London,Mitre Yard brownfield site,49601059,analytical_boundary,Polygon,EPSG:4326,EPSG:27700,Europe/London,-0.2354688698319107,51.52680902906856,6473.203626948638,,,NOT_APPLICABLE,2026-08-06T04:57:05Z,26b69eabd609e9639a87af76dbc5deaaa82c37dbdd89e18d73d557319a87acc0,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,36,24,8,0
CHI,Chicago,Selected New ERA Trail corridor segment,624189839,analytical_boundary_from_registered_axis_envelope,Polygon,EPSG:4326,EPSG:26916,America/Chicago,-87.67050469049434,41.78768691919017,40502.19990717134,981.1895171478881,40.0,FROZEN_STUDY_ANALYTICAL_ENVELOPE,2026-06-01T08:52:28Z,be32ce99c7ca85fa46c14b0913bca037f96ca22ce1146c5673e4a225951de197,db749508971fada3a7dafdf0b3966144a36eca45ceaefd71e6cd92668f44af82,540,364,0,0
