source_id,site_id,dataset,provider,url,retrieved,license,role,status,archive_sha256
OSM-SUZ-20260806,SUZ,OpenStreetMap Overpass snapshot,OpenStreetMap contributors,https://overpass-api.de/api/interpreter,2026-08-06,ODbL 1.0,site geometry and mapped context features,FROZEN_LOCAL_SNAPSHOT,
COPDEM30-SUZ,SUZ,Copernicus DEM GLO-30,Copernicus Programme,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N31_00_E120_00_DEM/Copernicus_DSM_COG_10_N31_00_E120_00_DEM.tif,2026-08-06,Copernicus DEM licence,context elevation only,FROZEN_LOCAL_CLIP,
OSM-LON-20260806,LON,OpenStreetMap Overpass snapshot,OpenStreetMap contributors,https://overpass-api.de/api/interpreter,2026-08-06,ODbL 1.0,site geometry and mapped context features,FROZEN_LOCAL_SNAPSHOT,
COPDEM30-LON,LON,Copernicus DEM GLO-30,Copernicus Programme,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N51_00_W001_00_DEM/Copernicus_DSM_COG_10_N51_00_W001_00_DEM.tif,2026-08-06,Copernicus DEM licence,context elevation only,FROZEN_LOCAL_CLIP,
OSM-CHI-20260806,CHI,OpenStreetMap Overpass snapshot,OpenStreetMap contributors,https://overpass-api.de/api/interpreter,2026-08-06,ODbL 1.0,site geometry and mapped context features,FROZEN_LOCAL_SNAPSHOT,
COPDEM30-CHI,CHI,Copernicus DEM GLO-30,Copernicus Programme,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N41_00_W088_00_DEM/Copernicus_DSM_COG_10_N41_00_W088_00_DEM.tif,2026-08-06,Copernicus DEM licence,context elevation only,FROZEN_LOCAL_CLIP,
GHSL-POP-E2025-100M-SUZ,SUZ,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",European Commission Joint Research Centre,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C30.zip,2026-08-06,GHSL data licence (see included tile metadata),A_green and E_equity origin weights,FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT,0519261e32dec9b12ec5fea8eeaeb4adff5e7cd75de7ae59910c0518cee76a5f
GHSL-POP-E2025-100M-LON,LON,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",European Commission Joint Research Centre,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R3_C19.zip,2026-08-06,GHSL data licence (see included tile metadata),A_green and E_equity origin weights,FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT,3d690b71d76c339ac75689393a25890867ce5898771d1f4e5518c36897520135
GHSL-POP-E2025-100M-CHI,CHI,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",European Commission Joint Research Centre,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R5_C11.zip,2026-08-06,GHSL data licence (see included tile metadata),A_green and E_equity origin weights,FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT,4a1772f6d92b00654e03d16a9fb5a841dd7c9ec544853309dc18d1213bd3a4ea
