site_id,source_id,source_url,archive_sha256,clipped_raster,clipped_raster_sha256,origin_count,nonmissing_origin_count,positive_origin_count,population_sum_at_origins,source_dataset,status
SUZ,GHSL-POP-E2025-100M-SUZ,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R6_C30.zip,0519261e32dec9b12ec5fea8eeaeb4adff5e7cd75de7ae59910c0518cee76a5f,raster/suz_ghsl_pop_e2025_100m.tif,b75c6427f71ed416682be5932d3cd13d5a808ceee4ff267d55e1dc2d55c5450b,340,340,339,66865.7387085557,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT
LON,GHSL-POP-E2025-100M-LON,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R3_C19.zip,3d690b71d76c339ac75689393a25890867ce5898771d1f4e5518c36897520135,raster/lon_ghsl_pop_e2025_100m.tif,8d83f819d8a4dd0179e3085f3aa50aca333862f129a65fe1046d59a20b273fe9,350,350,304,19323.001939106267,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT
CHI,GHSL-POP-E2025-100M-CHI,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_54009_100/V1-0/tiles/GHS_POP_E2025_GLOBE_R2023A_54009_100_V1_0_R5_C11.zip,4a1772f6d92b00654e03d16a9fb5a841dd7c9ec544853309dc18d1213bd3a4ea,raster/chi_ghsl_pop_e2025_100m.tif,738b3c0b1306a700ed28b3e3b7fa8ac7bc464d6ba0938a0d0354116bc103a0fe,523,523,442,21900.204398326576,"GHS-POP R2023A, E2025, Mollweide 54009, 100 m",FROZEN_LOCAL_CLIP_AND_POINT_EXTRACT
