run_id,scenario_id,site,decision_type,variant,workflow,exp1_seed,world_model_file,world_model_sha256,operator_id,operator_assignment_ready,input_status,run_status,output_geometry,output_parameter_table,output_need_disposition,output_constraint_checklist,output_process_log,rhino_export_record,outcome_A_green,outcome_E_equity,outcome_C_comfort,outcome_P_ret,outcome_I_impl,failure_or_exclusion_code
EXP1-SUZ-AR-S-DIGITAL,SUZ-AR-S,Suzhou,AR,S,DIGITAL,110202,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-AR-S-POLIS,SUZ-AR-S,Suzhou,AR,S,POLIS,110202,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-B-EXISTING,SUZ-CU-B,Suzhou,CU,B,EXISTING,110301,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-CU-B-CONVENTIONAL,SUZ-CU-B,Suzhou,CU,B,CONVENTIONAL,110301,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-B-DIGITAL,SUZ-CU-B,Suzhou,CU,B,DIGITAL,110301,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-B-POLIS,SUZ-CU-B,Suzhou,CU,B,POLIS,110301,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-S-EXISTING,SUZ-CU-S,Suzhou,CU,S,EXISTING,110302,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-CU-S-CONVENTIONAL,SUZ-CU-S,Suzhou,CU,S,CONVENTIONAL,110302,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-S-DIGITAL,SUZ-CU-S,Suzhou,CU,S,DIGITAL,110302,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-CU-S-POLIS,SUZ-CU-S,Suzhou,CU,S,POLIS,110302,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
